confidence,control_id,passage_id,policy,human_label,judge_label,judge_atoms,judge_evidence,decision
HIGH,T1.3.3,clientname-IS-POL-00-Asset Management Policy 6_passage_10,Asset Management Policy,Not Addressed,Partially Addressed,"b,c",5.4 develop handling procedures for processing/storing/communicating + safeguard per procedures,Partially Addressed
HIGH,T1.3.3,clientname-IS-POL-00-Asset Management Policy_passage_10,Asset Management Policy,Not Addressed,Partially Addressed,"b,c",5.4 Asset Handling: handling procedures + safeguard,Partially Addressed
HIGH,T1.4.1,clientname-IS-POL-00-Asset Management Policy 6_passage_11,Asset Management Policy,Not Addressed,Partially Addressed,"b,f",5.5 Removable Media Management: lifecycle handling + restrict/monitor usage,Partially Addressed
HIGH,T1.4.1,clientname-IS-POL-00-Asset Management Policy_passage_11,Asset Management Policy,Not Addressed,Partially Addressed,"b,f",5.5 Removable Media Management: lifecycle handling + restrict/monitor usage,Partially Addressed
HIGH,T1.4.2,clientname-IS-POL-00-Asset Management Policy 6_passage_12,Asset Management Policy,Not Addressed,Fully Addressed,"b,c,d,e","5.6 Disposal: secure disposal procedures by sensitivity, destroy paper+digital, keep records when no longer needed",Fully Addressed
HIGH,T1.4.2,clientname-IS-POL-00-Asset Management Policy_passage_12,Asset Management Policy,Not Addressed,Fully Addressed,"b,c,d,e","5.6 Disposal: secure disposal by sensitivity, destroy paper+digital, keep records",Fully Addressed
HIGH,T2.2.2,clientname-IS-POL-00-Physical and Environmental Security Policy v1.2_passage_8,Physical and Environmental Security Policy,Not Addressed,Fully Addressed,"b,c,d,e,f","5.2 authenticate persons (5.2.8), log+monitor access (5.2.9), visible ID (5.2.6), escort contractors (5.2.12)",Fully Addressed
HIGH,T2.2.5,clientname-IS-POL-00-Physical and Environmental Security Policy v1.2_passage_10,Physical and Environmental Security Policy,Not Addressed,Partially Addressed,"b,c",5.4 establish guidelines for working in secure areas + personnel aware/accept,Partially Addressed
HIGH,T2.3.6,clientname-IS-POL-00-Physical and Environmental Security Policy v1.2_passage_15,Physical and Environmental Security Policy,Not Addressed,Partially Addressed,b,5.9 destroy/overwrite media with confidential info before disposal/reuse (no records atom),Partially Addressed
HIGH,T3.2.2,clientname-IS-POL-00-Security Operations Policy_passage_6,Security Operations Policy,Not Addressed,Fully Addressed,"b,c,d","5.1 operating procedures documented+approved, reviewed periodically, kept up-to-date and available to users",Fully Addressed
HIGH,T3.2.5,clientname-IS-POL-00-Security Operations Policy_passage_8,Security Operations Policy,Not Addressed,Partially Addressed,"b,c,d","5.3 production separated from test/dev, documented transfer procedures via SDLC procedure",Partially Addressed
HIGH,T3.3.1,clientname-IS-POL-00-Security Operations Policy_passage_9,Security Operations Policy,Not Addressed,Fully Addressed,"b,c,d","5.4.3-5.4.4 monitor capacity, formal capacity management process, capacity plans to meet projected demand",Fully Addressed
HIGH,T4.2.1,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_11,Network and Communications Security Policy,Not Addressed,Fully Addressed,"b,c,d,e","5.5 establish transfer procedures; conditions, controls, actions on issues",Fully Addressed
HIGH,T4.2.2,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_12,Network and Communications Security Policy,Not Addressed,Partially Addressed,"b,c",5.6 establish exchange agreements with security conditions and responsibilities,Partially Addressed
HIGH,T4.2.3,clientname-IS-POL-00-Asset Management Policy 6_passage_13,Asset Management Policy,Not Addressed,Fully Addressed,"c,d,e,f","5.7 labelling requirements, tracking, transfer logs, loss measures for physical media in transit",Fully Addressed
HIGH,T4.2.3,clientname-IS-POL-00-Asset Management Policy_passage_13,Asset Management Policy,Not Addressed,Fully Addressed,"c,d,e,f","5.7 labelling, tracking, transfer logs, loss measures",Fully Addressed
HIGH,T4.5.1,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_7,Network and Communications Security Policy,Not Addressed,Partially Addressed,"d,e,f","5.1 network design w/ risk assessment, specific network controls, logging/monitoring",Partially Addressed
HIGH,T4.5.2,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_8,Network and Communications Security Policy,Not Addressed,Partially Addressed,"b,c,d,e",5.2 identify+implement security features/service levels; right-to-audit in agreements,Partially Addressed
HIGH,T4.5.4,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_10,Network and Communications Security Policy,Not Addressed,Partially Addressed,"c,d,e","5.4 wireless risk assessment, segregation, controls, periodic effectiveness review",Partially Addressed
HIGH,T5.2.3,clientname-IS-POL-00-Access Control Policy - CPX policy is reference 4_passage_14,Access Control Policy - CPX policy is reference,Not Addressed,Partially Addressed,c,8.8 establish user access and secure credentials management procedures (brief),Partially Addressed
HIGH,T5.2.3,clientname-IS-POL-00-Access Control Policy - CPX policy is reference 4_passage_15,Access Control Policy - CPX policy is reference,Not Addressed,Partially Addressed,"g,h","8.9 no default credentials, encryption/hashing for stored credentials, no cleartext",Partially Addressed
HIGH,T5.2.4,clientname-IS-POL-00-Access Control Policy - CPX policy is reference 4_passage_13,Access Control Policy - CPX policy is reference,Not Addressed,Partially Addressed,"c,d",8.7 review access rights at intervals and after promotion/transfer/termination; frequent privileged review,Partially Addressed
HIGH,T5.4.1,clientname-IS-POL-00-Access Control Policy - CPX policy is reference 4_passage_8,Access Control Policy - CPX policy is reference,Not Addressed,Partially Addressed,"b,c","8.2 procedure for use of network services (wireless/VPN/third-party), consistent with policy",Partially Addressed
HIGH,T5.5.1,clientname-IS-POL-00-Access Control Policy - CPX policy is reference 4_passage_16,Access Control Policy - CPX policy is reference,Not Addressed,Partially Addressed,d,"8.10 formal secure logon procedure, banner, strong auth, lockout; no session-timeout atoms",Partially Addressed
HIGH,T5.6.3,clientname-IS-POL-00-Access Control Policy - CPX policy is reference 4_passage_18,Access Control Policy - CPX policy is reference,Not Addressed,Fully Addressed,"b,c","8.12 publishing guidelines with reviews/approvals, sanitization training, periodic scan for exposed non-public info",Fully Addressed
HIGH,T7.7.1,clientname-IS-POL-00-Vulnerability Management Policy v1.2 (V_A)_passage_7,Vulnerability Management Policy,Not Addressed,Partially Addressed,"b,c","6.1 test/verify vulnerabilities (automated VA/pen tests), remediation plans before production",Partially Addressed
HIGH,T8.2.2,clientname-IS-POL-00-Information Security Incident Management Policy 2_passage_7,Information Security Incident Management Policy,Not Addressed,Partially Addressed,"b,d,f,g,h","5.1 identify CSIRT personnel, team composition, roles/responsibilities, services; funding/workflow/announce absent",Partially Addressed
HIGH,T8.2.3,clientname-IS-POL-00-Information Security Incident Management Policy 2_passage_9,Information Security Incident Management Policy,Not Addressed,Partially Addressed,b,5.3 establish incident classification scheme per regulatory issuances; assess/classify events,Partially Addressed
HIGH,T8.2.3,clientname-IS-POL-00-Information Security Incident Management Policy 3_passage_9,Information Security Incident Management Policy,Not Addressed,Partially Addressed,b,5.3 incident classification scheme per regulatory issuances,Partially Addressed
HIGH,T8.2.6,clientname-IS-POL-00-Information Security Incident Management Policy 2_passage_7,Information Security Incident Management Policy,Not Addressed,Partially Addressed,b,"5.1 CSIRT provides the incident response support resource (personnel, contact, responsibilities)",Partially Addressed
HIGH,T8.2.6,clientname-IS-POL-00-Information Security Incident Management Policy 3_passage_7,Information Security Incident Management Policy,Not Addressed,Partially Addressed,b,5.1 CSIRT as incident response support resource,Partially Addressed
HIGH,T8.2.8,clientname-IS-POL-00-Information Security Incident Management Policy 2_passage_13,Information Security Incident Management Policy,Not Addressed,Partially Addressed,b,"5.7 document incidents + incident handling (logging, recording, closing)",Partially Addressed
HIGH,T8.2.8,clientname-IS-POL-00-Information Security Incident Management Policy 3_passage_13,Information Security Incident Management Policy,Not Addressed,Partially Addressed,b,5.7 incident documentation + handling records,Partially Addressed
HIGH,T8.3.3,clientname-IS-POL-00-Information Security Incident Management Policy 2_passage_12,Information Security Incident Management Policy,Not Addressed,Partially Addressed,c,"5.6 nominated point of contact (CSIRT), handling of security weakness contributing to incident",Partially Addressed
HIGH,T8.3.3,clientname-IS-POL-00-Information Security Incident Management Policy 3_passage_12,Information Security Incident Management Policy,Not Addressed,Partially Addressed,c,"5.6 nominated point of contact (CSIRT), weakness handling",Partially Addressed
MEDIUM,M3.3.4,clientname-IS-POL-00-Security Awareness and Training Policy v2.0 UAE IA Mapping_passage_9,Security Awareness and Training Policy,Fully Addressed,Not Addressed,,training RECORDS retention; not measuring training effectiveness before/after,Not Addressed
MEDIUM,T1.2.3,clientname-IS-POL-00-Asset Management Policy 6_passage_14,Asset Management Policy,Not Addressed,Partially Addressed,,"5.8 Acceptable Use of Assets: approval before deployment, documented acceptable-use rules",Partially Addressed
MEDIUM,T1.2.3,clientname-IS-POL-00-Asset Management Policy_passage_14,Asset Management Policy,Not Addressed,Partially Addressed,,5.8 Acceptable Use of Assets: rules established and circulated,Partially Addressed
MEDIUM,T1.3.3,clientname-IS-POL-00-Asset Management Policy 6_passage_9,Asset Management Policy,Partially Addressed,Not Addressed,,labelling passage; not asset-handling procedures,Not Addressed
MEDIUM,T2.2.4,clientname-IS-POL-00-Physical and Environmental Security Policy v1.2_passage_9,Physical and Environmental Security Policy,Not Addressed,Partially Addressed,,5.3 Protecting Against External and Environmental Threats implements the control,Partially Addressed
MEDIUM,T2.2.6,clientname-IS-POL-00-Physical and Environmental Security Policy v1.2_passage_11,Physical and Environmental Security Policy,Not Addressed,Partially Addressed,,5.5 Protect Delivery and Loading Areas implements public-access/delivery control,Partially Addressed
MEDIUM,T2.3.3,clientname-IS-POL-00-Physical and Environmental Security Policy v1.2_passage_13,Physical and Environmental Security Policy,Not Addressed,Partially Addressed,,5.7 Cabling Security implements the control,Partially Addressed
MEDIUM,T2.3.5,clientname-IS-POL-00-Physical and Environmental Security Policy v1.2_passage_14,Physical and Environmental Security Policy,Not Addressed,Partially Addressed,,5.8 Security of Equipment Off-Premises implements the control,Partially Addressed
MEDIUM,T3.2.4,clientname-IS-POL-00-Security Operations Policy_passage_11,Security Operations Policy,Not Addressed,Partially Addressed,,5.6 Segregation of Duties implements the control,Partially Addressed
MEDIUM,T4.2.4,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_13,Network and Communications Security Policy,Not Addressed,Partially Addressed,,5.7 Electronic Messaging implements the control,Partially Addressed
MEDIUM,T4.4.2,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_15,Network and Communications Security Policy,Not Addressed,Partially Addressed,,5.9 Information Released into Information Sharing Communities implements the control,Partially Addressed
MEDIUM,T4.5.3,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_9,Network and Communications Security Policy,Not Addressed,Partially Addressed,,5.3 Segregation in Networks implements the control,Partially Addressed
MEDIUM,T5.4.7,clientname-IS-POL-00-Access Control Policy - CPX policy is reference 4_passage_9,Access Control Policy - CPX policy is reference,Not Addressed,Partially Addressed,,"8.3 Wireless Access: authentication protocols, controls, periodic surveys",Partially Addressed
MEDIUM,T6.2.2,clientname-IS-POL-00-Third-Party Security Policy v2.0 UAE IA Mapping_passage_7,Third-Party Security Policy,Not Addressed,Partially Addressed,,7.1 identify/mandate/monitor third-party security controls and lifecycle,Partially Addressed
MEDIUM,T6.2.2,clientname-IS-POL-00-Third-Party Security Policy v2.0 UAE IA Mapping_passage_8,Third-Party Security Policy,Not Addressed,Partially Addressed,,"7.2.4 service management relationship: monitor service levels, review reports, conduct audits",Partially Addressed
MEDIUM,T6.2.3,clientname-IS-POL-00-Third-Party Security Policy v2.0 UAE IA Mapping_passage_7,Third-Party Security Policy,Partially Addressed,Not Addressed,,7.1 general approach; change-management methodology/parameters not addressed (those are in 7.3),Not Addressed
MEDIUM,T8.2.5,clientname-IS-POL-00-Information Security Incident Management Policy 2_passage_11,Information Security Incident Management Policy,Not Addressed,Partially Addressed,,"5.5 Incident Response Testing: procedures, breach simulations, tabletop/functional exercises, sector/national exercises",Partially Addressed
MEDIUM,T8.2.5,clientname-IS-POL-00-Information Security Incident Management Policy 3_passage_11,Information Security Incident Management Policy,Not Addressed,Partially Addressed,,5.5 Incident Response Testing implements the control,Partially Addressed
LOW,T2.1.1,clientname-IS-POL-00-Physical and Environmental Security Policy v1.2_passage_4,Physical and Environmental Security Policy,Fully Addressed,Not Addressed,,purpose fragment; does not establish full policy (roles/ack/review absent) - human FA over-labels,Fully Addressed
LOW,T3.6.3,clientname-IS-POL-00-Vulnerability Management Policy v1.2 (V_A)_passage_5,Vulnerability Management Policy,Fully Addressed,Not Addressed,,scope boilerplate only; no monitoring types/frequency/review - human FA over-labels,Fully Addressed
LOW,T4.1.1,clientname-IS-POL-00-Network and Communications Security Policy v1.2 2_passage_4,Network and Communications Security Policy,Fully Addressed,Not Addressed,,purpose fragment; does not establish full policy - human FA over-labels,Fully Addressed
LOW,T5.2.2,clientname-IS-POL-00-Access Control Policy - CPX policy is reference 4_passage_12,Access Control Policy - CPX policy is reference,Fully Addressed,Partially Addressed,"b,d","8.6 record of privileges, separate admin ID; 2FA/logging atoms not shown - human FA over-labels",Fully Addressed
LOW,T8.1.1,clientname-IS-POL-00-Information Security Incident Management Policy 2_passage_3,Information Security Incident Management Policy,Fully Addressed,Partially Addressed,"d,e",1 INTRODUCTION: framework for managing incidents + roles for detection/response/recovery; not full policy - human FA over-labels,Fully Addressed
LOW,T8.1.1,clientname-IS-POL-00-Information Security Incident Management Policy 3_passage_3,Information Security Incident Management Policy,Fully Addressed,Partially Addressed,"d,e",1 INTRODUCTION: framework + roles for detection/response/recovery; not full policy - human FA over-labels,Fully Addressed
LOW,T8.3.2,clientname-IS-POL-00-Information Security Incident Management Policy 2_passage_9,Information Security Incident Management Policy,Fully Addressed,Not Addressed,,5.3 incident classification; not an event-reporting procedure/channels - human FA over-labels,Fully Addressed
