pair_id,source,control_id,control_family,control_name,control_desc,n_atoms,atom_keys,atoms_text,passage_id,passage_section,passage_text,covered_atoms,evidence,label_manual,confidence,note,label_prior
M5.5.1__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,M5.5.1,M5,Information Systems Audit,The entity shall ensure that audit requirements and activities involving checks on operational systems are carefully planned and agreed to minimize the risk of disruptions to business processes.,5,"a,b,c,d,e","a: The entity shall:
b: assign responsibilities for internal audits of information system controls to an appropriate authority
c: define audit requirements for information system controls
d: outline an audit plan to meet audit requirements for information system controls
e: highlight measures taken to ensure audit activities minimize the risk of disruptions to business processes",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
M5.5.2__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,M5.5.2,M5,Protection of Information,The entity shall protect access to information systems audit tools to prevent any possible misuse or compromise.,4,"a,b,c,d","a: The entity shall:
b: identify all information systems audit tools
c: identify the types and classification levels of information stored in information systems audit tools
d: define minimum security requirements for information systems audit tools commensurate to the classification levels of the information held",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T3.4.1__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,T3.4.1,T3,Controls Against Malware,The entity shall protect its information assets from malware.,9,"a,b,c,d,e,f,g,h,j","a: The entity shall:
b: employ anti-malware protection mechanisms for the network as well as servers, workstations, laptops and other devices connected to it
c: ensure that all anti-malware protection are up-to-date
d: periodically scan all information systems files as well as files downloaded from public networks
e: scan all email attachments before reaching user’s inbox
f: scan removable media for malware every time they are connected to the information systems
g: configure servers, workstations, laptops so that they don’t “auto-run” contents from removable media
h: monitor anti-malware protection tools for malware detection events that should be logged and a notification should be sent to the administrators (refer to T.3.6.
j: ensure that users are aware of malware risks, behaviors and preventative actions (refer to M.3.2.1)",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T3.5.1__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,T3.5.1,T3,Information Backup,The entity shall backup copies of its information and software.,5,"a,b,c,d,e","a: The entity shall:
b: establish guidelines for determining what information and software requires backup and how often
c: establish and document clear backup procedures and system capabilities for all applicable backup requirements
d: ensure backed up information and software is routinely tested for reliability
e: ensure IT staff have the skills and qualification to conduct the backup procedures (refer to",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T4.2.3__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,T4.2.3,T4,Physical Media in Transit,The entity shall protect physical media containing information during transportation.,6,"a,b,c,d,e,f","a: The entity shall:
b: identify physical media carrying sensitive information
c: define labeling requirements for physical media carrying sensitive information
d: ensure physical media in transit carrying sensitive information is tracked sufficiently in accordance with the sensitivity of the information it contains
e: define measures to be taken in the event of loss of physical media in transit carrying sensitive information
f: keep a log of all transitions",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T4.5.4__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,T4.5.4,T4,Security of Wireless,The entity shall ensure that all wireless networks are adequately secured.,5,"a,b,c,d,e","a: The entity shall:
b: undertake and document a site survey to determine the optimal physical locations to avoid stray signal leaking too far outside of the entity’s physical perimeter
c: identify criteria for grouping information services, users, and information systems into different groups that facilitate segregation on wireless networks
d: for each wireless network, identify the security controls that should be in place based on the required protection level of the information services, users, and information systems it supports
e: periodically evaluate the effectiveness of implemented segregation strategies and identify areas for improvement",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T5.5.1__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,T5.5.1,T5,Secure Log-On Procedures,The entity shall control access to systems and applications using a secure log-on and log-off procedure.,6,"a,b,c,d,e,f","a: The entity shall:
b: identify the systems, applications and services that require user authentication
c: classify the identified systems, application and services based on the level of protection needed
d: establish the appropriate log-on and log-off procedures to minimize the opportunity for unauthorized access
e: set a maximum session time for logged on users for sensitive systems and applications
f: terminate inactive sessions after a predefined period of inactivity",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T7.5.2__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,T7.5.2,T7,Protection of System Test,The entity shall ensure the protection of system test data.,5,"a,b,c,d,e","a: The entity shall:
b: use sample data sets to test data applications
c: limit the transfer of real data from production environment to the test environment, and to be done only after the appropriate authorization
d: erase any data from test applications immediately after testing is completed
e: keep track of any copy/erase of data between production and testing environment",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T7.6.5__clientname-IS-POL-00-Asset Management Policy 6_passage_11,retrieval,T7.6.5,T7,Outsourced Software,The entity shall supervise outsourced software development.,6,"a,b,c,d,e,f","a: The entity shall:
b: define a secure coding policy
c: define a Quality Assurance (QA) process
d: include in the software acquisition contract a clause to oblige third part to be compliant to Entity secure coding policy, to align to Entity QA process; contract shall also include the possibility to conduct audit on the third party
e: specify in the software development contract any requirement and information security functionality
f: conduct a source code review to identify potential vulnerabilities and/or malicious code or code that does not conform to the functionalities required",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
M3.2.1__clientname-IS-POL-00-Asset Management Policy 6_passage_11,neg_sample,M3.2.1,M3,Awareness and Training,The entity shall develop an awareness and training program.,8,"a,b,c,d,e,f,g,h","a: The awareness and training program shall:
b: inform persons doing work under the entity of their contribution to the effectiveness of information security and the implications of not conforming to the information security requirements The entity shall:
c: determine the necessary competencies for personnel performing work effecting information security
d: provide training or taking other actions (e.
e: employing competent personne
f: to satisfy these needs
g: evaluate the effectiveness of the actions taken
h: maintain records of education, training, skills, experience and qualifications",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T1.3.2__clientname-IS-POL-00-Asset Management Policy 6_passage_11,neg_sample,T1.3.2,T1,Labeling of Information,The entity shall label information in accordance with the classification scheme adopted by the entity.,3,"a,b,c","a: The entity shall:
b: establish a procedure for labeling of information and its related assets in physical or electronic formats to reflect their attributed classification
c: apply the appropriate label on information",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
T9.1.1__clientname-IS-POL-00-Asset Management Policy 6_passage_11,neg_sample,T9.1.1,T9,Information Systems,The entity shall establish an information systems continuity planning policy.,8,"a,b,c,d,e,f,g,h","a: The information systems continuity planning policy shall:
b: be appropriate to the purpose of the entity
c: include statement of the management commitment, purpose, objective and scope of the policy
d: outline roles and responsibilities
e: provide the framework for continuity of information in adverse situations in accordance with the entity overall business continuity and / or disaster recovery planning
f: be documented and communicated to all users
g: be read and acknowledged formally by all users
h: be maintained, reviewed, tested and updated at planned intervals or if significant changes occur",clientname-IS-POL-00-Asset Management Policy 6_passage_11,5.5 Removable Media Management,"<CLIENT> shall:
            5.5.1 Ensure that all information is stored only in organization authorized media.
            5.5.2 Ensure that contents of any re-usable media that are to be removed from the organization is made unrecoverable when no longer required.
            5.5.3 Ensure that appropriate authorization is obtained for media removed from the organization and a record of such removals is kept in order to maintain an audit trail.
            5.5.4 Store all media in a safe and secure environment in accordance with manufacturers' specifications.
            5.5.5 Apply cryptographic techniques to protect data on removable media.
            5.5.6 Ensure that all removable media is scanned for malware before utilization.
            5.5.7 Ensure transfer of data to fresh media before it gets unreadable.
            5.5.8 Securely store/backup multiple copies of valuable data on separate media to further reduce the risk of incidental and/or accidental data damage or loss.
            5.5.9 Restrict and monitor the usage of removable media to limit the opportunity for data loss.
            5.5.10 Ensure that any organization-controlled media with data is not sent to the manufacturer for any repair purposes to avoid leakage of residual confidential information.",,,,,,
M5.2.3__clientname-IS-POL-00-Asset Management Policy 6_passage_12,prediction,M5.2.3,M5,Protection of,"The entity shall protect important records from loss, destruction, and falsification, in accordance with statutory, regulatory, contractual, and business requirements.",5,"a,b,c,d,e","a: The entity shall:
b: define a process for identifying records with specific compliance requirements regarding loss, destruction, falsification, or other applicable characteristics
c: determine specific system requirements resulting from the identified requirements
d: define specific controls to ensure all record protection requirements are met
e: periodically review requirements and associated controls for completeness",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
M5.2.7__clientname-IS-POL-00-Asset Management Policy 6_passage_12,prediction,M5.2.7,M5,Liability to the Information,"The entity shall ensure that liability issues and remediation are clarified, understood and approved by all members of an information sharing community, to address situations in which information is intentionally or unintentionally disclosed.",4,"a,b,c,d","a: The entity shall:
b: identify any liability issues and remediation requirements regarding unauthorized disclosure of information in all information sharing communities in which the entity participates
c: define specific remediation procedures for each relevant information sharing community
d: communicate to the relevant information sharing community any issues identified regarding remediation procedures",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
T1.4.2__clientname-IS-POL-00-Asset Management Policy 6_passage_12,golden+prediction+retrieval,T1.4.2,T1,Disposal of Media,The entity shall dispose media when no longer needed.,5,"a,b,c,d,e","a: The entity shall:
b: establish procedures for secure disposal of media containing confidential information based on the sensitivity of that information
c: destroy media, both paper and digital, when no longer serving the entity
d: keep records for disposed media (containing or used to contain confidential informatio
e: when no longer needed",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,Not Addressed
T2.2.1__clientname-IS-POL-00-Asset Management Policy 6_passage_12,prediction,T2.2.1,T2,Physical Security Perimeter,"The entity shall use security perimeters (barriers such as walls, card controlled entry gates or manned reception desks) to protect areas that contain information and information systems.",4,"a,b,c,d","a: The entity shall:
b: identify and classify security areas based on the assets and information they process or contain
c: define security perimeters for every classified security level to ensure the right level of protection is applied
d: ensure the right security countermeasures are adopted to protect areas that contain information and information systems",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
T2.3.6__clientname-IS-POL-00-Asset Management Policy 6_passage_12,prediction+retrieval,T2.3.6,T2,Secure Disposal or Re-Use,The entity shall ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal.,3,"a,b,c","a: The entity shall:
b: establish procedures for secure disposal or re-use of equipment based on the sensitivity of stored information
c: keep record of disposed equipment when no longer needed",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
M5.5.1__clientname-IS-POL-00-Asset Management Policy 6_passage_12,retrieval,M5.5.1,M5,Information Systems Audit,The entity shall ensure that audit requirements and activities involving checks on operational systems are carefully planned and agreed to minimize the risk of disruptions to business processes.,5,"a,b,c,d,e","a: The entity shall:
b: assign responsibilities for internal audits of information system controls to an appropriate authority
c: define audit requirements for information system controls
d: outline an audit plan to meet audit requirements for information system controls
e: highlight measures taken to ensure audit activities minimize the risk of disruptions to business processes",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
T1.4.1__clientname-IS-POL-00-Asset Management Policy 6_passage_12,retrieval,T1.4.1,T1,Management of,The entity shall manage the removable media in accordance with the classification scheme adopted by the entity.,5,"a,b,d,e,f","a: The entity shall:
b: establish media management procedures along its lifecycle (setup, distribution, utilization and disposa
d: identify the needed protection levels in accordance with the classification scheme
e: inhibit the use of removable media in those information systems that do not require it
f: control users of removable media",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
T2.2.5__clientname-IS-POL-00-Asset Management Policy 6_passage_12,retrieval,T2.2.5,T2,Working in Secure Areas,The entity shall design physical protection and guidelines for working in secure areas.,5,"a,b,c,d,e","a: The entity shall:
b: establish guidelines for working in secure areas
c: make sure all personnel accessing secure areas is aware and accepts rules and guidelines
d: supervise activities in secure areas
e: control access of devices to secure areas (See also",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
T3.4.1__clientname-IS-POL-00-Asset Management Policy 6_passage_12,retrieval,T3.4.1,T3,Controls Against Malware,The entity shall protect its information assets from malware.,9,"a,b,c,d,e,f,g,h,j","a: The entity shall:
b: employ anti-malware protection mechanisms for the network as well as servers, workstations, laptops and other devices connected to it
c: ensure that all anti-malware protection are up-to-date
d: periodically scan all information systems files as well as files downloaded from public networks
e: scan all email attachments before reaching user’s inbox
f: scan removable media for malware every time they are connected to the information systems
g: configure servers, workstations, laptops so that they don’t “auto-run” contents from removable media
h: monitor anti-malware protection tools for malware detection events that should be logged and a notification should be sent to the administrators (refer to T.3.6.
j: ensure that users are aware of malware risks, behaviors and preventative actions (refer to M.3.2.1)",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
T3.6.4__clientname-IS-POL-00-Asset Management Policy 6_passage_12,retrieval,T3.6.4,T3,Protection of Log,The entity shall protect log information against tampering and unauthorized access.,3,"a,b,c","a: The entity shall:
b: identify the log information across all information systems that shall be protected
c: ensure log information are protected commensurate to the sensitivity of the content of the logs",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
T4.2.3__clientname-IS-POL-00-Asset Management Policy 6_passage_12,retrieval,T4.2.3,T4,Physical Media in Transit,The entity shall protect physical media containing information during transportation.,6,"a,b,c,d,e,f","a: The entity shall:
b: identify physical media carrying sensitive information
c: define labeling requirements for physical media carrying sensitive information
d: ensure physical media in transit carrying sensitive information is tracked sufficiently in accordance with the sensitivity of the information it contains
e: define measures to be taken in the event of loss of physical media in transit carrying sensitive information
f: keep a log of all transitions",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
T4.2.5__clientname-IS-POL-00-Asset Management Policy 6_passage_12,retrieval,T4.2.5,T4,Business Information,The entity shall develop policies and procedures to protect information transferred across business information systems.,5,"a,b,c,d,e","a: The policies and procedures shall:
b: identify all points of interconnection between business information systems
c: identify the types of information to be protected regarding the identified interconnections
d: identify appropriate security measures to be taken to protect each type of information
e: be documented, maintained, reviewed and updated at planned intervals or if significant changes occur",clientname-IS-POL-00-Asset Management Policy 6_passage_12,5.6 Disposal of Media,"<CLIENT> shall:
            5.6.1 Establish procedures for secure disposal of media containing organizational information based on the sensitivity of that information.
            5.6.2 Ensure that the procedures are defined to identify media devices that might require secure disposal.
            5.6.3 Ensure that media, both paper and digital, are destroyed when no longer serving the organization.
            5.6.4 Ensure that records of disposed media (containing or used to contain confidential information) are kept when no longer needed.",,,,,,
