pair_id,incident_id,attack_type,attack_category,outcome_summary,observed_behaviour,atom_full_id,standard,control_id,control_name,atom_key,atom_claim,label_hint,label,evidence_note
INC-013-B__ISO.12.4.1.e,INC-013-B,MQTT-Malformed_Data,MQTT,"ePHI was not exfiltrated — the malformed CONNECT sessions did not grant the attacker subscriber access to any clinical topic. However, the 2-minute broker outage constitutes a partial failure: 14 devi…","At 02:11 UTC during night shift, the ward MQTT broker received a sequence of malformed CONNECT packets from an external IP that had bypassed the VPN gateway. Flow records show 312 flows over a 104-second window at a mean packet rate of 308 packets per second. Payload sizes were within normal bounds (mean 646 bytes) but the CONNECT packet flags were set incorrectly — the Clean Session flag was absent and the Protocol Name field contained non-UTF-8 bytes, causing the broker to log MQTT protocol pa…",ISO.12.4.1.e,ISO 27002,ISO.12.4.1,Event Logging,e,The organization shall keep event logs.,Y,,
INC-013-B__ISO.12.4.2.a,INC-013-B,MQTT-Malformed_Data,MQTT,"ePHI was not exfiltrated — the malformed CONNECT sessions did not grant the attacker subscriber access to any clinical topic. However, the 2-minute broker outage constitutes a partial failure: 14 devi…","At 02:11 UTC during night shift, the ward MQTT broker received a sequence of malformed CONNECT packets from an external IP that had bypassed the VPN gateway. Flow records show 312 flows over a 104-second window at a mean packet rate of 308 packets per second. Payload sizes were within normal bounds (mean 646 bytes) but the CONNECT packet flags were set incorrectly — the Clean Session flag was absent and the Protocol Name field contained non-UTF-8 bytes, causing the broker to log MQTT protocol pa…",ISO.12.4.2.a,ISO 27002,ISO.12.4.2,Protection of Log Information,a,The organization shall protect logging facilities against tampering.,Y,,
INC-013-B__ISO.12.6.1.c,INC-013-B,MQTT-Malformed_Data,MQTT,"ePHI was not exfiltrated — the malformed CONNECT sessions did not grant the attacker subscriber access to any clinical topic. However, the 2-minute broker outage constitutes a partial failure: 14 devi…","At 02:11 UTC during night shift, the ward MQTT broker received a sequence of malformed CONNECT packets from an external IP that had bypassed the VPN gateway. Flow records show 312 flows over a 104-second window at a mean packet rate of 308 packets per second. Payload sizes were within normal bounds (mean 646 bytes) but the CONNECT packet flags were set incorrectly — the Clean Session flag was absent and the Protocol Name field contained non-UTF-8 bytes, causing the broker to log MQTT protocol pa…",ISO.12.6.1.c,ISO 27002,ISO.12.6.1,Management of Technical Vulnerabilities,c,The organization shall take appropriate measures to address the risk associated with technical vulnerabilities.,Y,,
INC-018-A__HIPAA.164.312.c.1.e,INC-018-A,Spoofing-ARP_Spoofing,Spoofing,"ePHI was not exposed. The TLS certificate validation on the infusion pump rejected the man-in-the-middle certificate, preventing decryption of any clinical payload. The attacker intercepted the encryp…","At 10:44 UTC, an attacker connected to a physical Ethernet port in an unlocked equipment room sent gratuitous ARP replies at a peak rate of 153,124 packets per second — consistent with the maximum observed in CICIoMT2024 ARP spoofing flows. The attack poisoned the ARP cache of the Ward 5 network switch, redirecting traffic destined for the clinical gateway (10.3.1.1) through the attacker's laptop (MAC 00:0c:29:3f:aa:12). Network flow analysis recorded 16,047 ARP flows over an 82-second window. T…",HIPAA.164.312.c.1.e,HIPAA,HIPAA.164.312.c.1,Integrity — Standard,e,The covered entity shall implement electronic mechanisms to corroborate that ePHI has not been altered in an unauthorized manner.,Y,,
INC-018-A__HIPAA.164.312.d.a,INC-018-A,Spoofing-ARP_Spoofing,Spoofing,"ePHI was not exposed. The TLS certificate validation on the infusion pump rejected the man-in-the-middle certificate, preventing decryption of any clinical payload. The attacker intercepted the encryp…","At 10:44 UTC, an attacker connected to a physical Ethernet port in an unlocked equipment room sent gratuitous ARP replies at a peak rate of 153,124 packets per second — consistent with the maximum observed in CICIoMT2024 ARP spoofing flows. The attack poisoned the ARP cache of the Ward 5 network switch, redirecting traffic destined for the clinical gateway (10.3.1.1) through the attacker's laptop (MAC 00:0c:29:3f:aa:12). Network flow analysis recorded 16,047 ARP flows over an 82-second window. T…",HIPAA.164.312.d.a,HIPAA,HIPAA.164.312.d,Person or Entity Authentication — Standard,a,The covered entity shall implement procedures to verify that a person seeking access to ePHI is the one claimed.,Y,,
INC-018-A__HIPAA.164.312.e.1.a,INC-018-A,Spoofing-ARP_Spoofing,Spoofing,"ePHI was not exposed. The TLS certificate validation on the infusion pump rejected the man-in-the-middle certificate, preventing decryption of any clinical payload. The attacker intercepted the encryp…","At 10:44 UTC, an attacker connected to a physical Ethernet port in an unlocked equipment room sent gratuitous ARP replies at a peak rate of 153,124 packets per second — consistent with the maximum observed in CICIoMT2024 ARP spoofing flows. The attack poisoned the ARP cache of the Ward 5 network switch, redirecting traffic destined for the clinical gateway (10.3.1.1) through the attacker's laptop (MAC 00:0c:29:3f:aa:12). Network flow analysis recorded 16,047 ARP flows over an 82-second window. T…",HIPAA.164.312.e.1.a,HIPAA,HIPAA.164.312.e.1,Transmission Security — Standard,a,The covered entity shall implement technical security measures to guard against unauthorized access to ePHI being transmitted over an electronic communications network.,Y,,
INC-018-A__ISO.9.4.2.a,INC-018-A,Spoofing-ARP_Spoofing,Spoofing,"ePHI was not exposed. The TLS certificate validation on the infusion pump rejected the man-in-the-middle certificate, preventing decryption of any clinical payload. The attacker intercepted the encryp…","At 10:44 UTC, an attacker connected to a physical Ethernet port in an unlocked equipment room sent gratuitous ARP replies at a peak rate of 153,124 packets per second — consistent with the maximum observed in CICIoMT2024 ARP spoofing flows. The attack poisoned the ARP cache of the Ward 5 network switch, redirecting traffic destined for the clinical gateway (10.3.1.1) through the attacker's laptop (MAC 00:0c:29:3f:aa:12). Network flow analysis recorded 16,047 ARP flows over an 82-second window. T…",ISO.9.4.2.a,ISO 27002,ISO.9.4.2,Secure Log-on Procedures,a,The organization shall control access to systems by a secure log-on procedure where required.,Y,,
INC-018-A__ISO.10.1.1.b,INC-018-A,Spoofing-ARP_Spoofing,Spoofing,"ePHI was not exposed. The TLS certificate validation on the infusion pump rejected the man-in-the-middle certificate, preventing decryption of any clinical payload. The attacker intercepted the encryp…","At 10:44 UTC, an attacker connected to a physical Ethernet port in an unlocked equipment room sent gratuitous ARP replies at a peak rate of 153,124 packets per second — consistent with the maximum observed in CICIoMT2024 ARP spoofing flows. The attack poisoned the ARP cache of the Ward 5 network switch, redirecting traffic destined for the clinical gateway (10.3.1.1) through the attacker's laptop (MAC 00:0c:29:3f:aa:12). Network flow analysis recorded 16,047 ARP flows over an 82-second window. T…",ISO.10.1.1.b,ISO 27002,ISO.10.1.1,Policy on the Use of Cryptographic Controls,b,The organization shall implement a policy on the use of cryptographic controls for protection of information.,Y,,
INC-018-A__ISO.11.2.1.c,INC-018-A,Spoofing-ARP_Spoofing,Spoofing,"ePHI was not exposed. The TLS certificate validation on the infusion pump rejected the man-in-the-middle certificate, preventing decryption of any clinical payload. The attacker intercepted the encryp…","At 10:44 UTC, an attacker connected to a physical Ethernet port in an unlocked equipment room sent gratuitous ARP replies at a peak rate of 153,124 packets per second — consistent with the maximum observed in CICIoMT2024 ARP spoofing flows. The attack poisoned the ARP cache of the Ward 5 network switch, redirecting traffic destined for the clinical gateway (10.3.1.1) through the attacker's laptop (MAC 00:0c:29:3f:aa:12). Network flow analysis recorded 16,047 ARP flows over an 82-second window. T…",ISO.11.2.1.c,ISO 27002,ISO.11.2.1,Equipment Siting and Protection,c,The organization shall site and protect equipment to reduce opportunities for unauthorized access.,Y,,
INC-018-B__HIPAA.164.312.d.a,INC-018-B,Spoofing-ARP_Spoofing,Spoofing,ePHI was exfiltrated. Approximately 23 minutes of CGM readings for one patient were transmitted in plaintext (after TLS termination at the attacker's machine) and captured. Entity authentication atom …,"At 23:17 UTC, ARP spoofing traffic was detected originating from a device on the hospital guest Wi-Fi that had accessed the clinical VLAN through a misconfigured VLAN trunk. Flow records consistent with CICIoMT2024 ARP spoofing patterns show 377 packets per second mean rate over a 250-second window, with mixed TCP (52%) and UDP (45%) traffic — indicating the attacker was attempting to intercept both ePHI telemetry (TCP/TLS) and NTP synchronisation (UDP/123). The CGM gateway (10.5.0.8) was runnin…",HIPAA.164.312.d.a,HIPAA,HIPAA.164.312.d,Person or Entity Authentication — Standard,a,The covered entity shall implement procedures to verify that a person seeking access to ePHI is the one claimed.,Y,,
INC-018-B__HIPAA.164.312.d.b,INC-018-B,Spoofing-ARP_Spoofing,Spoofing,ePHI was exfiltrated. Approximately 23 minutes of CGM readings for one patient were transmitted in plaintext (after TLS termination at the attacker's machine) and captured. Entity authentication atom …,"At 23:17 UTC, ARP spoofing traffic was detected originating from a device on the hospital guest Wi-Fi that had accessed the clinical VLAN through a misconfigured VLAN trunk. Flow records consistent with CICIoMT2024 ARP spoofing patterns show 377 packets per second mean rate over a 250-second window, with mixed TCP (52%) and UDP (45%) traffic — indicating the attacker was attempting to intercept both ePHI telemetry (TCP/TLS) and NTP synchronisation (UDP/123). The CGM gateway (10.5.0.8) was runnin…",HIPAA.164.312.d.b,HIPAA,HIPAA.164.312.d,Person or Entity Authentication — Standard,b,The covered entity shall implement procedures to verify that an entity seeking access to ePHI is the one claimed.,Y,,
INC-018-B__HIPAA.164.312.e.1.a,INC-018-B,Spoofing-ARP_Spoofing,Spoofing,ePHI was exfiltrated. Approximately 23 minutes of CGM readings for one patient were transmitted in plaintext (after TLS termination at the attacker's machine) and captured. Entity authentication atom …,"At 23:17 UTC, ARP spoofing traffic was detected originating from a device on the hospital guest Wi-Fi that had accessed the clinical VLAN through a misconfigured VLAN trunk. Flow records consistent with CICIoMT2024 ARP spoofing patterns show 377 packets per second mean rate over a 250-second window, with mixed TCP (52%) and UDP (45%) traffic — indicating the attacker was attempting to intercept both ePHI telemetry (TCP/TLS) and NTP synchronisation (UDP/123). The CGM gateway (10.5.0.8) was runnin…",HIPAA.164.312.e.1.a,HIPAA,HIPAA.164.312.e.1,Transmission Security — Standard,a,The covered entity shall implement technical security measures to guard against unauthorized access to ePHI being transmitted over an electronic communications network.,Y,,
INC-018-B__ISO.9.1.2.a,INC-018-B,Spoofing-ARP_Spoofing,Spoofing,ePHI was exfiltrated. Approximately 23 minutes of CGM readings for one patient were transmitted in plaintext (after TLS termination at the attacker's machine) and captured. Entity authentication atom …,"At 23:17 UTC, ARP spoofing traffic was detected originating from a device on the hospital guest Wi-Fi that had accessed the clinical VLAN through a misconfigured VLAN trunk. Flow records consistent with CICIoMT2024 ARP spoofing patterns show 377 packets per second mean rate over a 250-second window, with mixed TCP (52%) and UDP (45%) traffic — indicating the attacker was attempting to intercept both ePHI telemetry (TCP/TLS) and NTP synchronisation (UDP/123). The CGM gateway (10.5.0.8) was runnin…",ISO.9.1.2.a,ISO 27002,ISO.9.1.2,Access to Networks and Network Services,a,The organization shall provide users access only to networks they have been specifically authorized to use.,Y,,
INC-018-B__ISO.10.1.2.b,INC-018-B,Spoofing-ARP_Spoofing,Spoofing,ePHI was exfiltrated. Approximately 23 minutes of CGM readings for one patient were transmitted in plaintext (after TLS termination at the attacker's machine) and captured. Entity authentication atom …,"At 23:17 UTC, ARP spoofing traffic was detected originating from a device on the hospital guest Wi-Fi that had accessed the clinical VLAN through a misconfigured VLAN trunk. Flow records consistent with CICIoMT2024 ARP spoofing patterns show 377 packets per second mean rate over a 250-second window, with mixed TCP (52%) and UDP (45%) traffic — indicating the attacker was attempting to intercept both ePHI telemetry (TCP/TLS) and NTP synchronisation (UDP/123). The CGM gateway (10.5.0.8) was runnin…",ISO.10.1.2.b,ISO 27002,ISO.10.1.2,Key Management,b,The organization shall develop a policy on the protection of cryptographic keys through their whole lifecycle.,Y,,
INC-018-B__ISO.12.6.1.b,INC-018-B,Spoofing-ARP_Spoofing,Spoofing,ePHI was exfiltrated. Approximately 23 minutes of CGM readings for one patient were transmitted in plaintext (after TLS termination at the attacker's machine) and captured. Entity authentication atom …,"At 23:17 UTC, ARP spoofing traffic was detected originating from a device on the hospital guest Wi-Fi that had accessed the clinical VLAN through a misconfigured VLAN trunk. Flow records consistent with CICIoMT2024 ARP spoofing patterns show 377 packets per second mean rate over a 250-second window, with mixed TCP (52%) and UDP (45%) traffic — indicating the attacker was attempting to intercept both ePHI telemetry (TCP/TLS) and NTP synchronisation (UDP/123). The CGM gateway (10.5.0.8) was runnin…",ISO.12.6.1.b,ISO 27002,ISO.12.6.1,Management of Technical Vulnerabilities,b,The organization shall evaluate its exposure to technical vulnerabilities of information systems.,Y,,
INC-001-A__HIPAA.164.312.a.1.a,INC-001-A,DDoS-SYN_Flood,DDoS,ePHI in already-established sessions was not exposed or interrupted. New monitor connections were refused for 2 minutes 22 seconds. SYN cookie mitigation restored full connectivity at 11:05:22 UTC. Au…,"At 11:03 UTC the cardiology ICU gateway began receiving a distributed TCP SYN flood. Network flow analysis recorded 199,390 TCP flows over a 64-second window at a mean rate of 1,864 packets per second, with a peak of 509,765 pkt/s. SYN flag proportion was 0.87 — confirming a half-open connection flood. The gateway's TCP connection table (configured for 4,096 simultaneous half-open connections) saturated within 8 seconds. Legitimate connections from 11 bedside monitors were refused from 11:03:08 …",HIPAA.164.312.a.1.a,HIPAA,HIPAA.164.312.a.1,Access Control — Standard,a,The covered entity shall implement technical policies for electronic information systems that maintain ePHI.,Y,,
INC-001-A__HIPAA.164.312.a.1.c,INC-001-A,DDoS-SYN_Flood,DDoS,ePHI in already-established sessions was not exposed or interrupted. New monitor connections were refused for 2 minutes 22 seconds. SYN cookie mitigation restored full connectivity at 11:05:22 UTC. Au…,"At 11:03 UTC the cardiology ICU gateway began receiving a distributed TCP SYN flood. Network flow analysis recorded 199,390 TCP flows over a 64-second window at a mean rate of 1,864 packets per second, with a peak of 509,765 pkt/s. SYN flag proportion was 0.87 — confirming a half-open connection flood. The gateway's TCP connection table (configured for 4,096 simultaneous half-open connections) saturated within 8 seconds. Legitimate connections from 11 bedside monitors were refused from 11:03:08 …",HIPAA.164.312.a.1.c,HIPAA,HIPAA.164.312.a.1,Access Control — Standard,c,The covered entity shall allow access only to persons who have been granted access rights.,Y,,
INC-001-A__HIPAA.164.312.b.a,INC-001-A,DDoS-SYN_Flood,DDoS,ePHI in already-established sessions was not exposed or interrupted. New monitor connections were refused for 2 minutes 22 seconds. SYN cookie mitigation restored full connectivity at 11:05:22 UTC. Au…,"At 11:03 UTC the cardiology ICU gateway began receiving a distributed TCP SYN flood. Network flow analysis recorded 199,390 TCP flows over a 64-second window at a mean rate of 1,864 packets per second, with a peak of 509,765 pkt/s. SYN flag proportion was 0.87 — confirming a half-open connection flood. The gateway's TCP connection table (configured for 4,096 simultaneous half-open connections) saturated within 8 seconds. Legitimate connections from 11 bedside monitors were refused from 11:03:08 …",HIPAA.164.312.b.a,HIPAA,HIPAA.164.312.b,Audit Controls — Standard,a,The covered entity shall implement hardware mechanisms that record activity in information systems containing ePHI.,Y,,
INC-001-A__ISO.12.4.1.a,INC-001-A,DDoS-SYN_Flood,DDoS,ePHI in already-established sessions was not exposed or interrupted. New monitor connections were refused for 2 minutes 22 seconds. SYN cookie mitigation restored full connectivity at 11:05:22 UTC. Au…,"At 11:03 UTC the cardiology ICU gateway began receiving a distributed TCP SYN flood. Network flow analysis recorded 199,390 TCP flows over a 64-second window at a mean rate of 1,864 packets per second, with a peak of 509,765 pkt/s. SYN flag proportion was 0.87 — confirming a half-open connection flood. The gateway's TCP connection table (configured for 4,096 simultaneous half-open connections) saturated within 8 seconds. Legitimate connections from 11 bedside monitors were refused from 11:03:08 …",ISO.12.4.1.a,ISO 27002,ISO.12.4.1,Event Logging,a,The organization shall produce event logs recording user activities.,Y,,
INC-001-A__ISO.12.4.1.d,INC-001-A,DDoS-SYN_Flood,DDoS,ePHI in already-established sessions was not exposed or interrupted. New monitor connections were refused for 2 minutes 22 seconds. SYN cookie mitigation restored full connectivity at 11:05:22 UTC. Au…,"At 11:03 UTC the cardiology ICU gateway began receiving a distributed TCP SYN flood. Network flow analysis recorded 199,390 TCP flows over a 64-second window at a mean rate of 1,864 packets per second, with a peak of 509,765 pkt/s. SYN flag proportion was 0.87 — confirming a half-open connection flood. The gateway's TCP connection table (configured for 4,096 simultaneous half-open connections) saturated within 8 seconds. Legitimate connections from 11 bedside monitors were refused from 11:03:08 …",ISO.12.4.1.d,ISO 27002,ISO.12.4.1,Event Logging,d,The organization shall produce event logs recording information security events.,Y,,
INC-001-A__ISO.12.4.4.a,INC-001-A,DDoS-SYN_Flood,DDoS,ePHI in already-established sessions was not exposed or interrupted. New monitor connections were refused for 2 minutes 22 seconds. SYN cookie mitigation restored full connectivity at 11:05:22 UTC. Au…,"At 11:03 UTC the cardiology ICU gateway began receiving a distributed TCP SYN flood. Network flow analysis recorded 199,390 TCP flows over a 64-second window at a mean rate of 1,864 packets per second, with a peak of 509,765 pkt/s. SYN flag proportion was 0.87 — confirming a half-open connection flood. The gateway's TCP connection table (configured for 4,096 simultaneous half-open connections) saturated within 8 seconds. Legitimate connections from 11 bedside monitors were refused from 11:03:08 …",ISO.12.4.4.a,ISO 27002,ISO.12.4.4,Clock Synchronisation,a,The organization shall synchronise the clocks of all relevant information processing systems to a single reference time source.,Y,,
INC-001-B__HIPAA.164.312.a.1.a,INC-001-B,DDoS-SYN_Flood,DDoS,ePHI telemetry for three infusion pumps was interrupted for 33 minutes. No ePHI was exfiltrated. Pump dosing continued from local parameters. The nurse call system outage created a clinical risk windo…,"At 03:45 UTC during low-staffing night shift, a DDoS SYN flood targeted the Ward 7 clinical server subnet. 199,390 TCP flows consistent with CICIoMT2024 SYN flood characteristics arrived over 64 seconds at a mean rate of 1,864 pkt/s, peaking at 509,765 pkt/s. No SYN cookie protection was configured on the ward server. The server's connection table exhausted in 4 seconds. The nurse call system lost connectivity at 03:45:04 UTC. Three infusion pumps lost their telemetry uplink simultaneously. No a…",HIPAA.164.312.a.1.a,HIPAA,HIPAA.164.312.a.1,Access Control — Standard,a,The covered entity shall implement technical policies for electronic information systems that maintain ePHI.,Y,,
INC-001-B__HIPAA.164.312.b.a,INC-001-B,DDoS-SYN_Flood,DDoS,ePHI telemetry for three infusion pumps was interrupted for 33 minutes. No ePHI was exfiltrated. Pump dosing continued from local parameters. The nurse call system outage created a clinical risk windo…,"At 03:45 UTC during low-staffing night shift, a DDoS SYN flood targeted the Ward 7 clinical server subnet. 199,390 TCP flows consistent with CICIoMT2024 SYN flood characteristics arrived over 64 seconds at a mean rate of 1,864 pkt/s, peaking at 509,765 pkt/s. No SYN cookie protection was configured on the ward server. The server's connection table exhausted in 4 seconds. The nurse call system lost connectivity at 03:45:04 UTC. Three infusion pumps lost their telemetry uplink simultaneously. No a…",HIPAA.164.312.b.a,HIPAA,HIPAA.164.312.b,Audit Controls — Standard,a,The covered entity shall implement hardware mechanisms that record activity in information systems containing ePHI.,Y,,
INC-001-B__ISO.12.2.1.a,INC-001-B,DDoS-SYN_Flood,DDoS,ePHI telemetry for three infusion pumps was interrupted for 33 minutes. No ePHI was exfiltrated. Pump dosing continued from local parameters. The nurse call system outage created a clinical risk windo…,"At 03:45 UTC during low-staffing night shift, a DDoS SYN flood targeted the Ward 7 clinical server subnet. 199,390 TCP flows consistent with CICIoMT2024 SYN flood characteristics arrived over 64 seconds at a mean rate of 1,864 pkt/s, peaking at 509,765 pkt/s. No SYN cookie protection was configured on the ward server. The server's connection table exhausted in 4 seconds. The nurse call system lost connectivity at 03:45:04 UTC. Three infusion pumps lost their telemetry uplink simultaneously. No a…",ISO.12.2.1.a,ISO 27002,ISO.12.2.1,Controls Against Malware,a,The organization shall implement detection controls to protect against malware.,Y,,
